filename;Attributes;AttributesPublic;AttributesStatic;Classes;Comments/Loc;EmptyCatches;EmptyOrNoCatch;F-Args;F-GodFnRloc;F-Mccc;F-Mccc-1/F-RLoc;F-Nl;F-RLoc;F-RLoc10+;F-RLoc100+;F-RLoc20+;F-RLoc200+;F-RLoc50+;FriendClasses;Functions;FunctionsUncommented;Hacks;IsGenerated;Lines140+;Loc;Loc Comment;Loc Outcommented;Mccc;Nl;Nl0+;Nl1+;Nl1+%;Nl1+Mean;Nl10+;Nl10+%;Nl10+Mean;Nl2+;Nl2+%;Nl2+Mean;Nl3+;Nl3+%;Nl3+Mean;Nl4+;Nl4+%;Nl4+Mean;Nl5+;Nl5+%;Nl5+Mean;Nl6+;Nl6+%;Nl6+Mean;Nl7+;Nl7+%;Nl7+Mean;Nl8+;Nl8+%;Nl8+Mean;Nl9+;Nl9+%;Nl9+Mean;NlMean;RLoc;Templates;Todos;Try-Nl;Trys;Trys w/o catch;Uncommented Complexity
source/tests/googletest/googletest/test/gtest_filter_unittest.py;;;;1;;;;;;;;;;;;;;;;31;;0;;0;633;138;0;26;3;235;55;0.2340425532;1.2181818182;0;0;0;9;0.0382978723;2.3333333333;3;0.0127659574;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.285106383;235;;0;;;;0
source/tests/googletest/googletest/test/gtest_sole_header_test.cc;0;0;0;0;0.5964912281;0;0;2;;1;0;1;4;0;0;0;0;0;0;3;0;0;;0;57;34;0;1;1;9;2;0.2222222222;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2222222222;13;0;0;0;0;0;0
source/tests/googletest/googletest/test/gtest_output_test_.cc;9;7;0;23;0.2382297552;2;2;2;;3;0.3333333333;2;14;2;0;0;0;0;0;101;0;0;;0;1062;253;1;8;2;235;47;0.2;1.0425531915;0;0;0;2;0.0085106383;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2085106383;419;4;0;1;2;0;0
source/tests/googletest/googletest/test/gtest_help_test_.cc;0;0;0;0;0.7608695652;0;0;2;;1;0;0;1;0;0;0;0;0;0;2;0;0;;0;46;35;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
source/tests/googletest/googletest/test/gtest_catch_exceptions_test_.cc;0;0;0;13;0.1446945338;0;0;2;;1;0;0;3;0;0;0;0;0;0;47;0;0;;0;311;45;0;1;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;117;0;0;0;0;0;0
source/tests/googletest/googletest/test/gtest_premature_exit_test.cc;0;0;0;1;0.3937007874;0;0;2;;4;0.4;2;9;0;0;0;0;0;0;6;0;0;;0;127;50;1;8;2;24;9;0.375;1.4444444444;0;0;0;4;0.1666666667;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5416666667;41;0;0;0;0;0;0
source/tests/googletest/googletest/test/gtest_list_tests_unittest.py;;;;1;;;;;;;;;;;;;;;;6;;0;;0;207;57;0;6;1;55;15;0.2727272727;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2727272727;55;;0;;;;0
source/tests/googletest/googletest/test/gtest_xml_test_utils.py;;;;1;;;;;;;;;;;;;;;;3;;0;;0;194;80;0;19;4;84;49;0.5833333333;1.5918367347;0;0;0;19;0.2261904762;2.5263157895;8;0.0952380952;3.25;2;0.0238095238;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9285714286;84;;0;;;;0
source/tests/googletest/googletest/test/gtest_color_test.py;;;;1;;;;;;;;;;;;;;;;7;;0;;0;130;37;0;9;1;65;12;0.1846153846;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1846153846;65;;0;;;;0
source/tests/googletest/googletest/test/gtest_environment_test.cc;4;1;0;1;0.3229166667;0;0;2;;3;0.3333333333;1;18;2;0;0;0;0;0;11;0;0;;0;192;62;0;4;1;46;10;0.2173913043;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2173913043;66;0;0;0;0;0;0
